,species,latitude,longitude
0,larix,55.041835999999996,158.872514
1,larix,57.5843,134.6597
2,larix,57.5707,136.0687
3,larix,58.4306,136.1937
4,larix,64.8374,152.6848
5,larix,64.2156,154.4821
6,larix,56.6866,124.1116
7,larix,67.169,156.2382
8,larix,65.2273,151.6885
9,larix,64.7619,153.7717
10,larix,58.528,129.2605
11,larix,58.7617,127.2472
12,larix,57.5771,134.6558
13,larix,59.5956,151.1744
14,larix,56.294,137.1827
15,larix,56.2335,134.6537
16,larix,57.6138,134.0245
17,larix,55.8812,135.9405
18,larix,55.626000000000005,130.028
19,larix,58.7743,134.2522
20,larix,55.693000000000005,130.888
21,larix,59.6639,150.4531
22,larix,68.065,122.9382
23,larix,56.9818,132.2461
24,larix,58.0155,134.2048
25,larix,56.74100000000001,132.9588
26,larix,57.6448,132.2159
27,larix,53.3006,132.8981
28,larix,52.9553,132.7645
29,larix,49.1307,144.244
30,larix,50.8748,137.44799999999998
31,larix,52.7205,134.6119
32,larix,52.9763,132.0499
33,larix,52.7902,131.7163
34,larix,63.6977,124.4366
35,larix,59.2061,125.321
36,larix,64.7989,169.4166
37,larix,64.2844,171.2577
38,larix,65.5399,168.845
39,larix,65.0528,167.6692
40,larix,67.7068,164.7132
41,larix,68.1104,164.1736
42,larix,67.7283,165.5681
43,larix,63.917,170.2392
44,larix,65.4437,166.4347
45,larix,66.7912,167.3458
46,larix,65.8001,169.8063
47,larix,68.7777,165.3658
48,larix,44.288000000000004,134.8372
49,larix,62.6895,147.9623
50,larix,44.2939,135.5506
51,larix,64.6915,165.799
52,larix,63.82899999999999,165.7018
53,larix,63.9592,164.4638
54,larix,69.3408,139.9505
55,larix,69.7325,135.1373
56,larix,67.6601,134.5965
57,larix,63.8949,153.6367
58,larix,62.5754,155.3503
59,larix,62.1164,154.6752
60,larix,62.4345,156.4316
61,larix,61.8918,156.1324
62,larix,67.6853,159.6974
63,larix,68.9249,164.3013
64,larix,67.9909,167.4807
65,larix,67.4864,167.8717
66,larix,66.22800000000001,168.2711
67,larix,69.2495,163.8701
68,larix,43.2614,133.7075
69,larix,59.3429,148.6157
70,larix,48.6828,138.249
71,larix,47.3118,137.596
72,larix,62.1061,128.3705
73,larix,69.75,147.5333
74,larix,62.1791,159.0891
75,larix,49.4455,138.3161
76,larix,69.5666,149.3333
77,larix,47.2382,138.4297
78,larix,50.3318,139.2359
79,larix,61.7994,160.4225
80,larix,56.0017,134.0335
81,larix,64.1223,159.2446
82,larix,65.0432,161.6473
83,larix,56.4577,159.6838
84,larix,53.3818,134.6249
85,larix,55.6178,136.5513
86,larix,65.4752,160.151
87,larix,71.976,127.0524
88,larix,56.1296,137.5511
89,larix,55.8871,133.0714
90,larix,56.4608,138.1723
91,larix,55.5114,132.6928
92,larix,53.8426,130.3688
93,larix,50.2478,134.7051
94,larix,50.3531,134.2052
95,larix,50.7153,134.3727
96,larix,71.6618,125.4477
97,larix,70.798,127.4015
98,larix,49.8771,143.4699
99,larix,59.4026,143.472
100,larix,64.1113,148.0262
101,larix,47.778999999999996,138.2512
102,larix,63.0984,144.6133
103,larix,69.0799,160.9669
104,larix,45.7119,135.53
105,larix,70.1666,140.7
106,larix,70.6333,147.8833
107,larix,64.4573,143.3597
108,larix,46.1558,136.9195
109,larix,50.8773,132.9815
110,larix,55.3489,159.8455
111,larix,50.6228,143.3636
112,larix,56.3063,158.8434
113,larix,55.8722,134.9027
114,larix,57.0543,134.0055
115,larix,65.6554,162.4321
116,larix,64.3462,162.7158
117,larix,65.7917,158.9405
