species;lat;lon
Abies sachalinensis;47.417231;142.797015
Abies sachalinensis;47.085235;142.769412
Abies sachalinensis;47.762966;142.254126
Abies sachalinensis;47.076709;142.579563
Abies sachalinensis;47.606064;142.168984
Abies sachalinensis;47.797007;142.014754
Abies sachalinensis;47.777671;142.15555
Abies sachalinensis;47.783678;142.059084
Abies sachalinensis;47.731426;142.051649
Abies sachalinensis;47.668095;142.111987
Abies sachalinensis;47.660487;142.025882
Abies sachalinensis;40.226054;140.37074
Abies sachalinensis;40.226054;140.37074
Abies sachalinensis;47.619555;142.199777
Abies sachalinensis;47.68583;142.186952
Abies sachalinensis;46.668737;142.762999
Abies sachalinensis;42.976093;144.407714
Abies sachalinensis;42.976093;144.407714
Abies sachalinensis;43.2119;141.0008
Abies sachalinensis;43.186;141.269
Abies sachalinensis;47.111544;142.990479
Abies sachalinensis;47.674737;142.135004
Abies sachalinensis;55.646167;37.141
Abies sachalinensis;46.018317;141.961074
Abies sachalinensis;42.678;141.587
Abies sachalinensis;45.033;141.982
Abies sachalinensis;42.948;141.266
Abies sachalinensis;44.462;142.162
Abies sachalinensis;45.038;141.988
Abies sachalinensis;45.047;142.008
Abies sachalinensis;45.033;141.991
Abies sachalinensis;44.859;142.091
Abies sachalinensis;44.961;142.095
Abies sachalinensis;45.03;141.983
Abies sachalinensis;44.996;142.006
Abies sachalinensis;44.77;142.193
Abies sachalinensis;44.445;142.207
Abies sachalinensis;44.961;142.094
Abies sachalinensis;45.023;141.991
Abies sachalinensis;42.6898;141.5788
Abies sachalinensis;45.047;142.008
Abies sachalinensis;44.946;142.082
Abies sachalinensis;45.047;142.008
Abies sachalinensis;45.049;142.128
Abies sachalinensis;44.961;142.095
Abies sachalinensis;44.998;142
Abies sachalinensis;44.995;142.003
Abies sachalinensis;45.023;141.986
Abies sachalinensis;44.391;142.197
Abies sachalinensis;44.961;142.096
Abies sachalinensis;44.731;142.231
Abies sachalinensis;44.378;142.196
