species;lat;lon
Betula ermanii;53.078828;158.586932
Betula ermanii;35.392361;127.771861
Betula ermanii;38.160503;127.916686
Betula ermanii;37.152917;127.658553
Betula ermanii;37.156611;128.9165
Betula ermanii;37.240708;128.49135
Betula ermanii;36.461056;127.537833
Betula ermanii;37.152556;127.690056
Betula ermanii;37.578;128.857806
Betula ermanii;37.397103;128.288019
Betula ermanii;37.643236;128.647844
Betula ermanii;37.387914;128.296506
Betula ermanii;37.535106;128.541461
Betula ermanii;37.090333;129.123222
Betula ermanii;37.003583;129.129028
Betula ermanii;38.215394;128.123944
Betula ermanii;37.183889;127.863083
Betula ermanii;37.233014;128.533042
Betula ermanii;35.739656;127.46815
Betula ermanii;37.678567;128.751431
Betula ermanii;37.517333;128.7605
Betula ermanii;35.885756;128.255575
Betula ermanii;37.091694;129.11075
Betula ermanii;37.047219;127.735986
Betula ermanii;37.203861;128.731639
Betula ermanii;38.019664;127.739356
Betula ermanii;35.786531;126.633461
Betula ermanii;38.072021;127.918408
Betula ermanii;38.087292;127.812918
Betula ermanii;37.099408;128.464394
Betula ermanii;37.608528;128.788389
Betula ermanii;37.070164;128.581797
Betula ermanii;37.617917;128.647667
Betula ermanii;37.393611;128.511619
Betula ermanii;37.047219;127.735986
Betula ermanii;35.738511;127.435947
Betula ermanii;38.014614;127.434953
Betula ermanii;37.937519;127.612433
Betula ermanii;37.096028;129.103222
Betula ermanii;35.599278;127.922083
Betula ermanii;37.647444;128.603611
Betula ermanii;38.150119;128.075986
Betula ermanii;37.102181;128.684339
Betula ermanii;35.990233;128.466861
Betula ermanii;37.617081;128.649606
Betula ermanii;35.788453;126.630575
Betula ermanii;37.596233;127.636045
Betula ermanii;37.505805;127.843389
Betula ermanii;38.048813;128.022559
Betula ermanii;55.741704;130.565816
Betula ermanii;55.743597;130.58753
Betula ermanii;55.742171;130.580727
Betula ermanii;56.324437;160.775445
Betula ermanii;56.117496;159.978433
Betula ermanii;53.195939;158.268932
Betula ermanii;53.349262;158.391541
Betula ermanii;54.118333;158.014722
Betula ermanii;56.415752;157.846401
Betula ermanii;53.060543;158.619748
Betula ermanii;52.979765;158.696383
Betula ermanii;50.7;136.5
Betula ermanii;50.7;136.5
Betula ermanii;43.236898;132.783175
Betula ermanii;52.895214;158.726364
Betula ermanii;52.89534;158.731476
