species;latitude;longitude;
Abies sachalinensis;45.923121;142.073388; 
Abies sachalinensis;46.006482;141.996691; 
Abies sachalinensis;45.999703;142.061204; 
Abies sachalinensis;46.021951;142.161197; 
Abies sachalinensis;46.138901;142.213553; 
Abies sachalinensis;46.166349;141.999286; 
Abies sachalinensis;46.201523;142.226909; 
Abies sachalinensis;46.211951;142.115028; 
Abies sachalinensis;46.287573;141.906288; 
Abies sachalinensis;46.427607;141.946492; 
Abies sachalinensis;46.60844;141.864033; 
Abies sachalinensis;46.739067;142.005184; 
Abies sachalinensis;46.731218;142.190149; 
Abies sachalinensis;46.79085;142.369793; 
Abies sachalinensis;46.849127;142.023888; 
Abies sachalinensis;46.853425;142.352277; 
Abies sachalinensis;46.968812;142.030004; 
Abies sachalinensis;47.061856;142.121715; 
Abies sachalinensis;47.070302;142.224196; 
Abies sachalinensis;47.161905;142.109858; 
Abies sachalinensis;47.161905;142.208992; 
Abies sachalinensis;47.301282;142.05793; 
Abies sachalinensis;46.30445;143.550394; 
Abies sachalinensis;46.169013;143.435209; 
Abies sachalinensis;46.071845;143.409203; 
Abies sachalinensis;46.443803;143.387161; 
Abies sachalinensis;46.524672;143.382354; 
Abies sachalinensis;46.689857;143.320126; 
Abies sachalinensis;46.795356;143.427071; 
Abies sachalinensis;46.874402;142.940068; 
Abies sachalinensis;46.985059;142.872605; 
Abies sachalinensis;47.06142;142.948565; 
Abies sachalinensis;47.156761;142.990451; 
Abies sachalinensis;47.081052;142.581386; 
Abies sachalinensis;47.424064;142.434401; 
Abies sachalinensis;47.578387;142.284855; 
Abies sachalinensis;47.642579;142.556418; 
Abies sachalinensis;47.589364;142.514465; 
Abies sachalinensis;47.738195;142.498979; 
Abies sachalinensis;48.062957;142.521992; 
Abies sachalinensis;48.222466;142.570255; 
Abies sachalinensis;48.575973;142.596152; 
Abies sachalinensis;44.806475;147.161585; 
Abies sachalinensis;50.457961;143.252646; 
Abies sachalinensis;49.964688;143.992935; 
Abies sachalinensis;47.013448;142.846177; 
Abies sachalinensis;49.139707;144.252731; 
Abies sachalinensis;49.259155;144.073585; 
Abies sachalinensis;54.169689;159.977106; 
Abies sachalinensis;43.929546;145.536004; 
Abies sachalinensis;43.987444;145.789709; 
Abies sachalinensis;44.766317;147.208681; 
Abies sachalinensis;44.023323;145.680006; 
Abies sachalinensis;44.210491;145.874771; 
Abies sachalinensis;47.162182;143.026616; 
Abies sachalinensis;46.731909;143.495731; 
Abies sachalinensis;46.754717;143.130694; 
Abies sachalinensis;46.903402;143.052451; 
Abies sachalinensis;46.66666;142.328508; 
Abies sachalinensis;47.151255;142.539306; 
Abies sachalinensis;47.080787;142.58117; 
Abies sachalinensis;47.265705;142.084972; 
Abies sachalinensis;47.29775;141.978598; 
Abies sachalinensis;48.153464;142.198428; 
Abies sachalinensis;48.329027;142.195344; 
Abies sachalinensis;48.463266;142.104849; 
Abies sachalinensis;48.499472;142.252121; 
Abies sachalinensis;48.738871;142.171505; 
Abies sachalinensis;48.975015;142.244512; 
Abies sachalinensis;48.814819;142.73787; 
Abies sachalinensis;48.787073;142.615163; 
Abies sachalinensis;49.285875;142.194382; 
Abies sachalinensis;49.496163;142.231709; 
Abies sachalinensis;49.242736;144.15939; 
Abies sachalinensis;49.683371;143.700998; 
Abies sachalinensis;50.003392;143.978806; 
Abies sachalinensis;50.097474;143.281071; 
Abies sachalinensis;49.492431;142.752659; 
Abies sachalinensis;49.794817;143.194787; 
Abies sachalinensis;50.369487;143.764351; 
Abies sachalinensis;50.123718;143.653767; 
Abies sachalinensis;50.51856;143.711506; 
Abies sachalinensis;50.60553;143.450064; 
Abies sachalinensis;50.647624;143.686597; 
Abies sachalinensis;50.617245;143.31356; 
Abies sachalinensis;50.866659;143.553015; 
Abies sachalinensis;51.085483;143.552319; 
Abies sachalinensis;51.388479;143.324877; 
Abies sachalinensis;51.101448;142.975512; 
Abies sachalinensis;50.630253;143.0083; 
Abies sachalinensis;50.83245;142.384356; 
Abies sachalinensis;50.871203;142.129605; 
Abies sachalinensis;50.973044;142.229474; 
Abies sachalinensis;51.030924;142.248498; 
Abies sachalinensis;51.115347;142.280802; 
Abies sachalinensis;51.151547;142.262295; 
Abies sachalinensis;51.282434;142.22426; 
Abies sachalinensis;51.364125;142.179374; 
Abies sachalinensis;51.520922;142.068567; 
Abies sachalinensis;51.498673;142.319733; 
Abies sachalinensis;51.329101;142.937971; 
Abies sachalinensis;51.658865;142.87556; 
Abies sachalinensis;52.02592;142.926853; 
Abies sachalinensis;52.141508;142.822193; 
Abies sachalinensis;52.18191;142.218816; 
Abies sachalinensis;52.231778;142.167712; 
Abies sachalinensis;52.436122;142.115768; 
Abies sachalinensis;52.116578;143.007732; 
Abies sachalinensis;53.028829;142.702524; 
Abies sachalinensis;44.325307;146.157319; 
Abies sachalinensis;44.387747;146.062885; 
Abies sachalinensis;44.396711;146.498129; 
Abies sachalinensis;43.81943;145.541536; 
Abies sachalinensis;43.895642;145.608793; 
Abies sachalinensis;44.208685;146.016635; 
Abies sachalinensis;43.854973;146.835743; 
Abies sachalinensis;43.811075;146.655839; 
Abies sachalinensis;43.750486;146.691981; 
Abies sachalinensis;44.459031;146.873521; 
Abies sachalinensis;44.522256;146.928966; 
Abies sachalinensis;44.661187;147.162874; 
Abies sachalinensis;44.803332;147.164837; 
Abies sachalinensis;46.74958;142.278669; 
Abies sachalinensis;46.639576;142.008648; 
Abies sachalinensis;47.346333;142.830526; 
Abies sachalinensis;47.445767;142.741783; 
Abies sachalinensis;47.525479;141.971328; 
Abies sachalinensis;47.751955;142.06457; 
Abies sachalinensis;47.891;142.180334; 
Abies sachalinensis;47.912849;142.493153; 
Abies sachalinensis;47.946048;142.386685; 
Abies sachalinensis;47.52222;141.978358; 
Abies sachalinensis;47.584597;141.976322; 
Abies sachalinensis;48.760846;141.922914; 
Abies sachalinensis;49.675165;142.320307; 
Abies sachalinensis;49.68759;142.533993; 
Abies sachalinensis;49.436203;142.200864; 
Abies sachalinensis;49.331124;142.307877; 
Abies sachalinensis;49.235038;142.75235; 
Abies sachalinensis;49.79978;142.361578; 
Abies sachalinensis;49.912213;142.316915; 
Abies sachalinensis;49.943549;142.347364; 
Abies sachalinensis;50.039739;142.174388; 
Abies sachalinensis;49.872221;142.144854; 
Abies sachalinensis;49.968381;142.745892; 
Abies sachalinensis;49.973962;142.582788; 
Abies sachalinensis;49.866154;144.002585; 
Abies sachalinensis;49.99902;143.983685; 
Abies sachalinensis;50.6769;142.652217; 
Abies sachalinensis;50.481527;142.655197; 
Abies sachalinensis;51.459667;143.065345; 
Abies sachalinensis;51.246848;142.845017; 
Abies sachalinensis;51.474387;142.845086; 
Abies sachalinensis;51.656841;142.868209; 
Abies sachalinensis;51.867062;142.374826; 
Abies sachalinensis;51.651003;142.412136; 
Abies sachalinensis;51.66105;142.723075; 
Abies sachalinensis;51.84189;142.677152; 
Abies sachalinensis;52.702711;143.072069; 
Abies sachalinensis;52.941917;143.024163; 
Abies sachalinensis;53.40639;143.017453; 
Abies sachalinensis;53.646215;142.604092; 
Abies sachalinensis;53.311511;141.974816; 
Abies sachalinensis;53.48503;142.840332; 
Abies sachalinensis;44.738996;147.294483; 
Abies sachalinensis;45.10246;147.729997; 
Abies sachalinensis;44.939461;147.544773; 
Abies sachalinensis;45.159807;147.735383; 
Abies sachalinensis;44.641805;147.246707; 
Abies sachalinensis;44.579334;147.098909; 
Abies sachalinensis;44.594389;146.94173; 
Abies sachalinensis;44.871376;147.592919; 
Abies sachalinensis;46.739196;142.655843; 
Abies sachalinensis;46.666379;142.760239; 
Abies sachalinensis;50.326691;142.168267; 
