species;latitude;longitude;
Picea jezoensis;56.117472;159.978554; 
Picea jezoensis;56.10558;159.973978; 
Picea jezoensis;50.825244;136.475107; 
Picea jezoensis;50.824107;136.470776; 
Picea jezoensis;50.825735;136.463897; 
Picea jezoensis;52.5715;140.351973; 
Picea jezoensis;43.472953;133.539375; 
Picea jezoensis;46.916848;143.090572; 
Picea jezoensis;46.864143;143.157882; 
Picea jezoensis;41.64583;128.37972; 
Picea jezoensis;42.221899;129.216355; 
Picea jezoensis;40.73841;127.65701; 
Picea jezoensis;47.762981;142.254309; 
Picea jezoensis;47.766996;142.096716; 
Picea jezoensis;47.784253;142.104506; 
Picea jezoensis;47.692467;142.135984; 
Picea jezoensis;47.859792;142.092382; 
Picea jezoensis;55.051386;158.87693; 
Picea jezoensis;55.976465;158.646338; 
Picea jezoensis;54.694111;158.61586; 
Picea jezoensis;54.112544;126.864152; 
Picea jezoensis;54.953044;158.853159; 
Picea jezoensis;54.692753;158.623871; 
Picea jezoensis;55.043113;158.874655; 
Picea jezoensis;43.378583;143.999318; 
Picea jezoensis;54.386904;125.624755; 
Picea jezoensis;54.393176;125.602355; 
Picea jezoensis;54.398244;125.8722; 
Picea jezoensis;54.36615;125.660569; 
Picea jezoensis;55.051453;158.876909; 
Picea jezoensis;54.441289;125.46518; 
Picea jezoensis;43.2068;133.51042; 
Picea jezoensis;43.2068;133.51042; 
Picea jezoensis;55.927075;158.699349; 
Picea jezoensis;55.805767;159.971603; 
Picea jezoensis;55.067211;158.890472; 
Picea jezoensis;43.400906;132.725183; 
Picea jezoensis;41.59606;128.81452; 
Picea jezoensis;41.810028;129.311228; 
Picea jezoensis;40.676797;127.521919; 
Picea jezoensis;41.49972;128.59694; 
Picea jezoensis;41.59606;128.814526; 
Picea jezoensis;41.396964;128.168392; 
Picea jezoensis;41.244853;128.799827; 
Picea jezoensis;41.366667;127.966667; 
Picea jezoensis;41.54306;128.43778; 
Picea jezoensis;41.474953;128.281474; 
Picea jezoensis;41.810028;129.311228; 
Picea jezoensis;40.019056;126.334944; 
Picea jezoensis;40.385324;127.252793; 
Picea jezoensis;40.73841;127.65701; 
Picea jezoensis;41.585661;129.605713; 
Picea jezoensis;41.871606;129.152527; 
Picea jezoensis;41.279838;127.91369; 
Picea jezoensis;54.425351;125.518186; 
Picea jezoensis;54.436834;125.502944; 
Picea jezoensis;54.436998;125.507711; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;45.333333;136.15; 
Picea jezoensis;54.412224;125.534392; 
Picea jezoensis;54.412981;125.52935; 
Picea jezoensis;54.362822;126.019517; 
Picea jezoensis;54.364998;126.193067; 
Picea jezoensis;54.124515;126.719954; 
Picea jezoensis;54.124236;126.722754; 
Picea jezoensis;45.948817;142.022994; 
Picea jezoensis;42.79;130.37; 
Picea jezoensis;46.8;129.81; 
Picea jezoensis;46.8;129.81; 
Picea jezoensis;46.8;129.81; 
Picea jezoensis;43.58;129.88; 
Picea jezoensis;46.8;129.81; 
Picea jezoensis;46.8;129.81; 
Picea jezoensis;46.8;129.81; 
Picea jezoensis;46.8;129.81; 
Picea jezoensis;46.8;129.81; 
Picea jezoensis;46.8;129.81; 
Picea jezoensis;46.8;129.81; 
Picea jezoensis;46.8;129.81; 
Picea jezoensis;46.8;129.81; 
Picea jezoensis;46.8;129.81; 
Picea jezoensis;43.12;127; 
Picea jezoensis;43.62;128.34; 
Picea jezoensis;42.34;127.28; 
Picea jezoensis;45.04;128.22; 
Picea jezoensis;42.78;128.51; 
Picea jezoensis;42.78;128.51; 
Picea jezoensis;42.78;128.51; 
Picea jezoensis;42.78;128.51; 
Picea jezoensis;42.6;128.96; 
Picea jezoensis;42.6;128.96; 
Picea jezoensis;42.6;128.96; 
Picea jezoensis;45.76;130.57; 
Picea jezoensis;45.76;130.57; 
Picea jezoensis;47.77;128.91; 
Picea jezoensis;54.388707;125.616522; 
Picea jezoensis;54.381584;125.626091; 
Picea jezoensis;54.414527;125.53452; 
Picea jezoensis;54.411524;125.536628; 
Picea jezoensis;42.68;141.6; 
Picea jezoensis;42.952;141.274; 
Picea jezoensis;44.961;142.096; 
Picea jezoensis;45.03;141.983; 
Picea jezoensis;45.033;141.991; 
Picea jezoensis;42.704;141.6; 
Picea jezoensis;42.951;141.274; 
Picea jezoensis;45.047;142.008; 
Picea jezoensis;45.049;142.128; 
Picea jezoensis;44.961;142.096; 
Picea jezoensis;44.962;142.094; 
Picea jezoensis;45.047;142.008; 
Picea jezoensis;44.961;142.095; 
Picea jezoensis;45.03;142.006; 
Picea jezoensis;45.038;141.988; 
Picea jezoensis;45.023;141.986; 
Picea jezoensis;44.962;142.094; 
Picea jezoensis;42.687;141.594; 
Picea jezoensis;45.047;142.008; 
Picea jezoensis;45.047;142.008; 
Picea jezoensis;45.0029;142.1142; 
Picea jezoensis;44.767;142.221; 
Picea jezoensis;44.998;142; 
Picea jezoensis;44.962;142.094; 
Picea jezoensis;44.961;142.095; 
Picea jezoensis;45.008;142.015; 
Picea jezoensis;44.77;142.193; 
Picea jezoensis;45.0025;142.1181; 
Picea jezoensis;44.7681;142.2142; 
Picea jezoensis;44.739;142.219; 
Picea jezoensis;45.047;142.008; 
Picea jezoensis;44.961;142.095; 
Picea jezoensis;44.737;142.221; 
Picea jezoensis;45.049;142.128; 
Picea jezoensis;44.995;142.003; 
Picea jezoensis;44.961;142.096; 
Picea jezoensis;44.986;142.008; 
Picea jezoensis;45.01;142.015; 
Picea jezoensis;44.7575;142.2134; 
Picea jezoensis;44.87;142.11; 
Picea jezoensis;44.76;142.21; 
Picea jezoensis;44.995;142.003; 
Picea jezoensis;44.996;142.006; 
Picea jezoensis;44.9849;142.0088; 
Picea jezoensis;45.043;142.109; 
Picea jezoensis;44.7571;142.2175; 
Picea jezoensis;44.77;142.22; 
Picea jezoensis;44.76;142.19; 
Picea jezoensis;42.69;141.59; 
Picea jezoensis;44.7575;142.2134; 
Picea jezoensis;44.995;142.003; 
Picea jezoensis;42.704;141.59; 
Picea jezoensis;44.7616;142.2183; 
Picea jezoensis;44.87;142.11; 
Picea jezoensis;44.77;142.22; 
Picea jezoensis;44.77;142.22; 
Picea jezoensis;44.7614;142.2148; 
Picea jezoensis;42.678;141.603; 
Picea jezoensis;44.7723;142.2141; 
Picea jezoensis;44.7575;142.2134; 
Picea jezoensis;44.7575;142.2134; 
Picea jezoensis;44.767;142.2; 
Picea jezoensis;44.87;142.11; 
Picea jezoensis;44.9991;142.0032; 
Picea jezoensis;45.0023;142.0018; 
Picea jezoensis;45.083;142.105; 
Picea jezoensis;44.86;142.11; 
Picea jezoensis;45.049;142.005; 
Picea jezoensis;44.8;142.233; 
Picea jezoensis;44.874;142.135; 
Picea jezoensis;45.051;142.136; 
Picea jezoensis;42.701;141.572; 
Picea jezoensis;44.77;142.21; 
Picea jezoensis;44.77;142.22; 
Picea jezoensis;44.7784;142.2322; 
Picea jezoensis;45.042;142.008; 
Picea jezoensis;42.691;141.552; 
Picea jezoensis;45;142.015; 
Picea jezoensis;45;142.05; 
Picea jezoensis;44.985;142.119; 
Picea jezoensis;44.961;142.118; 
Picea jezoensis;45.075;142.119; 
Picea jezoensis;44.991;142.121; 
Picea jezoensis;44.992;142.009; 
Picea jezoensis;45.057;142.099; 
Picea jezoensis;45.065;142.115; 
Picea jezoensis;45.024;142.022; 
Picea jezoensis;44.996;142.12; 
Picea jezoensis;45.064;142.104; 
Picea jezoensis;45.044;142.014; 
Picea jezoensis;44.991;142.018; 
Picea jezoensis;45.075;142.119; 
Picea jezoensis;44.961;142.112; 
Picea jezoensis;45.047;142.013; 
Picea jezoensis;45.051;142.011; 
Picea jezoensis;45.067;141.982; 
Picea jezoensis;45.051;142.011; 
Picea jezoensis;45.04;142.037; 
Picea jezoensis;44.913;141.967; 
Picea jezoensis;44.996;142.12; 
Picea jezoensis;45.026;142.019; 
Picea jezoensis;45.044;142.016; 
Picea jezoensis;44.81;142.09; 
Picea jezoensis;44.815;142.281; 
Picea jezoensis;45.067;141.982; 
Picea jezoensis;45.048;142.006; 
Picea jezoensis;44.931;142.084; 
Picea jezoensis;44.9839;142.0094; 
Picea jezoensis;45.075;142.119; 
Picea jezoensis;44.99;142.03; 
Picea jezoensis;44.9991;142.0031; 
Picea jezoensis;45.026;142.019; 
Picea jezoensis;45.002;142.0018; 
Picea jezoensis;44.72;142.27; 
Picea jezoensis;44.81;142.17; 
Picea jezoensis;45.075;142.119; 
Picea jezoensis;45.076;142.008; 
Picea jezoensis;45;142.05; 
Picea jezoensis;45.047;142.013; 
Picea jezoensis;44.92;142.02; 
Picea jezoensis;44.754;142.243; 
Picea jezoensis;45;142.015; 
Picea jezoensis;44.982;142.061; 
Picea jezoensis;44.735;142.221; 
Picea jezoensis;44.728;142.241; 
Picea jezoensis;44.984;142.054; 
Picea jezoensis;44.7403;142.2382; 
Picea jezoensis;44.7427;142.2272; 
Picea jezoensis;44.7399;142.2394; 
Picea jezoensis;44.7379;142.2327; 
Picea jezoensis;44.7422;142.2285; 
Picea jezoensis;44.7422;142.228; 
Picea jezoensis;44.7427;142.2276; 
Picea jezoensis;44.9907;142.0651; 
Picea jezoensis;44.733;142.239; 
Picea jezoensis;44.9865;142.0618; 
Picea jezoensis;44.95;142.034; 
Picea jezoensis;44.36;142.26; 
Picea jezoensis;42.68;141.59; 
Picea jezoensis;44.741;142.202; 
Picea jezoensis;44.9582;142.1502; 
Picea jezoensis;44.737;142.23; 
Picea jezoensis;44.767;142.222; 
Picea jezoensis;44.749;142.244; 
Picea jezoensis;44.767;142.222; 
Picea jezoensis;44.767;142.222; 
Picea jezoensis;44.993;142.061; 
Picea jezoensis;44.736;142.227; 
Picea jezoensis;44.749;142.244; 
Picea jezoensis;44.767;142.222; 
Picea jezoensis;44.767;142.222; 
Picea jezoensis;44.767;142.222; 
Picea jezoensis;44.767;142.222; 
Picea jezoensis;45;142.05; 
Picea jezoensis;44.749;142.244; 
Picea jezoensis;44.767;142.222; 
Picea jezoensis;45.085;142.0284; 
Picea jezoensis;44.767;142.222; 
Picea jezoensis;44.749;142.244; 
Picea jezoensis;44.993;142.061; 
Picea jezoensis;42.6971;141.5736; 
Picea jezoensis;45.0788;142.1135; 
Picea jezoensis;45.051;141.997; 
Picea jezoensis;45.043;141.99; 
Picea jezoensis;45.077;142.1132; 
Picea jezoensis;42.6971;141.5736; 
Picea jezoensis;44.749;142.242; 
Picea jezoensis;42.6971;141.5736; 
Picea jezoensis;45.0788;142.1135; 
Picea jezoensis;42.958;141.257; 
Picea jezoensis;43.208;140.865; 
Picea jezoensis;42.6651;141.5994; 
Picea jezoensis;42.963;141.223; 
Picea jezoensis;44.806;142.275; 
Picea jezoensis;45.077;142.1132; 
Picea jezoensis;42.6666;141.6106; 
Picea jezoensis;44.816;142.278; 
Picea jezoensis;42.7125;141.567; 
Picea jezoensis;45.0481;142.1027; 
Picea jezoensis;44.7703;142.243; 
Picea jezoensis;44.9448;142.1133; 
Picea jezoensis;44.7292;142.2332; 
Picea jezoensis;44.7654;142.2765; 
Picea jezoensis;45.0717;142.0467; 
Picea jezoensis;45.0049;142.1432; 
Picea jezoensis;45.004;142.0673; 
Picea jezoensis;45.0045;142.1419; 
Picea jezoensis;45.012;142.141; 
Picea jezoensis;45.012;142.141; 
Picea jezoensis;44.796;142.258; 
Picea jezoensis;44.749;142.205; 
Picea jezoensis;44.749;142.205; 
Picea jezoensis;44.7661;142.2197; 
Picea jezoensis;43.116844;132.783089; 
Picea jezoensis;55.805949;133.95765; 
Picea jezoensis;43.115;141.125; 
Picea jezoensis;44.525178;135.56346; 
Picea jezoensis;44.523728;135.5681; 
Picea jezoensis;44.602167;135.455041; 
Picea jezoensis;44.611681;135.286239; 
Picea jezoensis;44.818425;142.028596; 
Picea jezoensis;41.383508;128.166686; 
Picea jezoensis;42.186389;129.321111; 
Picea jezoensis;41.776394;128.827483; 
Picea jezoensis;41.96861;129.08417; 
Picea jezoensis;40.381924;127.243652; 
Picea jezoensis;41.383508;128.166686; 
Picea jezoensis;47.9985;142.899; 
Picea jezoensis;42.52000004;142.98; 
Picea jezoensis;42.52000004;142.98; 
Picea jezoensis;42.51000004;142.96; 
Picea jezoensis;42.69000004;142.68; 
Picea jezoensis;42.44000004;142.89; 
Picea jezoensis;42.81000004;142.47; 
Picea jezoensis;42.83000004;142.67; 
Picea jezoensis;42.63000004;142.83; 
Picea jezoensis;42.63000004;142.85; 
Picea jezoensis;42.63000004;142.83; 
Picea jezoensis;42.74000004;142.78; 
Picea jezoensis;42.74000004;142.79; 
Picea jezoensis;42.59000004;142.83; 
Picea jezoensis;42.82000004;142.77; 
Picea jezoensis;42.60000004;142.96; 
Picea jezoensis;42.59000004;142.85; 
Picea jezoensis;42.73000004;142.85; 
Picea jezoensis;42.80000004;142.52; 
Picea jezoensis;42.67000004;142.57; 
Picea jezoensis;42.61000004;142.42; 
Picea jezoensis;42.79000004;142.56; 
Picea jezoensis;42.62000004;142.54; 
Picea jezoensis;42.61000004;142.55; 
Picea jezoensis;47.998467;142.899033; 
Picea jezoensis;47.998467;142.899033; 
Picea jezoensis;43.4856;144.4592; 
Picea jezoensis;42.95581;144.07153; 
Picea jezoensis;42.31548;140.97348; 
Picea jezoensis;42.31548;140.97348; 
Picea jezoensis;42.31548;140.97348; 
Picea jezoensis;43.178;140.861; 
Picea jezoensis;43.14;140.933; 
Picea jezoensis;43.123;141.035; 
Picea jezoensis;43.237;140.989; 
Picea jezoensis;43.674657;142.907239; 
Picea jezoensis;43.38571;142.55232; 
Picea jezoensis;43.34333;133.65638; 
Picea jezoensis;43.49416;133.57833; 
Picea jezoensis;42.786504;128.514494; 
Picea jezoensis;41.812003;126.91814; 
Picea jezoensis;43.622609;128.346866; 
Picea jezoensis;46.809805;129.814957; 
Picea jezoensis;42.72;141.25; 
Picea jezoensis;43.77;142.5; 
Picea jezoensis;44.2;142.13; 
Picea jezoensis;45.27;142.2; 
Picea jezoensis;45.18;141.25; 
Picea jezoensis;42.42;142.58; 
Picea jezoensis;55.77;160.23; 
Picea jezoensis;45.27;142.2; 
Picea jezoensis;40.02;125.75; 
Picea jezoensis;50;143; 
Picea jezoensis;55.77;160.23; 
Picea jezoensis;56.43;137.17; 
Picea jezoensis;56.43;137.17; 
Picea jezoensis;54.355717;142.66905; 
Picea jezoensis;54.338333;142.644817; 
Picea jezoensis;54.883333;158.833333; 
Picea jezoensis;42.833333;130.333333; 
Picea jezoensis;42.699694;141.569861; 
Picea jezoensis;42;130; 
Picea jezoensis;42.3;128.083333; 
Picea jezoensis;54.883333;158.833333; 
Picea jezoensis;45.016667;141.916667; 
Picea jezoensis;43.416667;144.1; 
Picea jezoensis;56;160.166667; 
Picea jezoensis;43.366667;142.383333; 
Picea jezoensis;60;47; 
Picea jezoensis;46.641333;142.91025; 
Picea jezoensis;47.4282;142.768667; 
Picea jezoensis;47.4282;142.768667; 
Picea jezoensis;46.976233;142.81855; 
Picea jezoensis;47.25205;142.805733; 
Picea jezoensis;44.35377;146.10599; 
Picea jezoensis;43.06934;141.34804; 
Picea jezoensis;44.34072;129.48285; 
Picea jezoensis;45.521;141.937; 
Picea jezoensis;44.36802;146.23273; 
Picea jezoensis;50.58889;135; 
Picea jezoensis;55.33751;159.44472; 
Picea jezoensis;54.60351;127.48017; 
Picea jezoensis;56.89859;159.69238; 
Picea jezoensis;51;143; 
Picea jezoensis;44.122;145.854; 
Picea jezoensis;52.17902;141.50488; 
Picea jezoensis;43.0621;141.35437; 
Picea jezoensis;42.98486;144.38136; 
Picea jezoensis;42.99352;144.39331; 
Picea jezoensis;43.05;141.35; 
Picea jezoensis;42.88334;140.65; 
Picea jezoensis;51;143; 
Picea jezoensis;43.0475;141.3555; 
Picea jezoensis;43.451659;144.097165; 
Picea jezoensis;45.138889;142.109444; 
Picea jezoensis;45.138889;142.109444; 
Picea jezoensis;45.245251;141.20981; 
Picea jezoensis;42.950305;141.152419; 
Picea jezoensis;43.333333;142.616667; 
