species;latitude;longitude
juglans_ailantifolia;36.8831;140.2555
juglans_ailantifolia;35.5000;137.0495
juglans_ailantifolia;36.8733;139.1534
juglans_ailantifolia;35.9309;139.9906
juglans_ailantifolia;35.4838;136.4313
juglans_ailantifolia;35.5389;135.3811
juglans_ailantifolia;34.6688;138.9631
juglans_ailantifolia;35.4129;135.1184
juglans_ailantifolia;35.7000;140.2000
juglans_ailantifolia;38.2320;140.8056
juglans_ailantifolia;36.9354;138.3750
juglans_ailantifolia;36.2688;138.0625
juglans_ailantifolia;37.3264;139.5064
juglans_ailantifolia;35.8199;139.9342
juglans_ailantifolia;35.3200;139.9843
juglans_ailantifolia;39.8000;141.4500
juglans_ailantifolia;43.4248;144.1037
juglans_ailantifolia;43.4248;144.1037
juglans_ailantifolia;43.4248;144.1037
juglans_ailantifolia;43.0518;141.4038
juglans_ailantifolia;0.0000;35.6600
juglans_ailantifolia;35.7535;139.3106
juglans_ailantifolia;42.9435;141.8101
juglans_ailantifolia;37.5417;140.0361
juglans_ailantifolia;35.5204;137.8750
juglans_ailantifolia;35.9354;137.8750
juglans_ailantifolia;36.7279;137.8125
juglans_ailantifolia;36.3096;137.8125
juglans_ailantifolia;35.7688;138.1875
juglans_ailantifolia;39.4238;141.9777
juglans_ailantifolia;39.9904;141.7902
juglans_ailantifolia;39.5875;141.9563
juglans_ailantifolia;40.1903;141.0027
juglans_ailantifolia;44.7700;142.2000
juglans_ailantifolia;44.8700;142.1100
juglans_ailantifolia;42.6900;141.5900
juglans_ailantifolia;44.7930;142.0780
juglans_ailantifolia;44.9850;142.1190
juglans_ailantifolia;45.0000;142.0500
juglans_ailantifolia;44.3600;142.2600
juglans_ailantifolia;44.3600;142.2600
juglans_ailantifolia;44.7868;142.1331
juglans_ailantifolia;44.7292;142.2421
juglans_ailantifolia;44.7654;142.2765
juglans_ailantifolia;33.6000;133.7000
juglans_ailantifolia;34.8333;135.3167
juglans_ailantifolia;35.0000;134.6500
juglans_ailantifolia;35.2908;139.0156
juglans_ailantifolia;36.2603;139.4992
juglans_ailantifolia;37.6692;140.0642
juglans_ailantifolia;37.3428;139.3214
juglans_ailantifolia;43.1250;141.1980
juglans_ailantifolia;43.1110;141.1560
juglans_ailantifolia;36.7600;139.2500
juglans_ailantifolia;36.5700;139.3800
juglans_ailantifolia;36.0900;139.1500
juglans_ailantifolia;35.9600;139.0200
juglans_ailantifolia;35.2000;133.0400
juglans_ailantifolia;35.3200;133.4700
juglans_ailantifolia;42.7400;142.3200
juglans_ailantifolia;43.3500;145.0000
juglans_ailantifolia;42.7300;142.8900
juglans_ailantifolia;42.8200;142.9900
juglans_ailantifolia;34.8400;133.6000
juglans_ailantifolia;36.6800;138.9600
juglans_ailantifolia;42.8300;142.8200
juglans_ailantifolia;35.3000;133.3300
juglans_ailantifolia;37.0800;138.8900
juglans_ailantifolia;34.8700;133.2700
juglans_ailantifolia;42.6400;142.9300
juglans_ailantifolia;42.6600;143.1000
juglans_ailantifolia;42.6200;143.0700
juglans_ailantifolia;42.4400;143.0600
juglans_ailantifolia;42.7900;142.8900
juglans_ailantifolia;42.6200;142.5700
juglans_ailantifolia;34.3400;135.9500
juglans_ailantifolia;35.6600;138.5000
juglans_ailantifolia;35.5900;138.7300
juglans_ailantifolia;34.5900;136.2000
juglans_ailantifolia;35.6100;138.9800
juglans_ailantifolia;36.5698;139.9661
juglans_ailantifolia;42.7215;142.4286
juglans_ailantifolia;35.8091;139.2097
juglans_ailantifolia;38.3113;140.4114
juglans_ailantifolia;38.0840;140.0707
juglans_ailantifolia;33.7500;133.5333
juglans_ailantifolia;33.7667;133.7667
juglans_ailantifolia;33.5000;133.5833
juglans_ailantifolia;33.5833;133.0833
juglans_ailantifolia;33.5500;133.3667
juglans_ailantifolia;33.1167;132.7333
juglans_ailantifolia;33.5000;134.1000
juglans_ailantifolia;33.6333;133.8833
juglans_ailantifolia;33.0167;132.8500
juglans_ailantifolia;33.7667;133.2667
juglans_ailantifolia;33.3167;133.0333
juglans_ailantifolia;32.8333;132.6833
juglans_ailantifolia;34.0626;134.2974
juglans_ailantifolia;34.0458;134.5314
juglans_ailantifolia;38.7208;140.4188
juglans_ailantifolia;40.0375;140.7063
juglans_ailantifolia;32.1169;130.8364
juglans_ailantifolia;39.4022;140.9481
juglans_ailantifolia;44.5100;142.0700
juglans_ailantifolia;34.5300;134.3900
juglans_ailantifolia;35.3800;134.2700
juglans_ailantifolia;34.2800;134.5600
juglans_ailantifolia;35.1300;134.2900
juglans_ailantifolia;35.2700;134.5400
juglans_ailantifolia;34.3600;135.3100
juglans_ailantifolia;35.0100;135.1400
juglans_ailantifolia;36.5667;137.4333
juglans_ailantifolia;36.7000;137.1833
juglans_ailantifolia;36.5500;137.0000
juglans_ailantifolia;36.3333;136.8667
juglans_ailantifolia;36.9667;137.6500
juglans_ailantifolia;36.9667;137.6500
juglans_ailantifolia;36.5167;136.7500
juglans_ailantifolia;36.7167;137.4500
juglans_ailantifolia;35.2658;139.9905
juglans_ailantifolia;35.3074;139.1531
juglans_ailantifolia;35.3074;139.1531
juglans_ailantifolia;35.1908;139.1406
juglans_ailantifolia;38.1988;139.6529
juglans_ailantifolia;35.4324;139.2656
juglans_ailantifolia;37.9161;139.0364
juglans_ailantifolia;36.4350;139.2806
juglans_ailantifolia;36.4800;138.7958
juglans_ailantifolia;36.3975;139.0531
juglans_ailantifolia;36.2911;138.7517
juglans_ailantifolia;36.1000;138.8000
juglans_ailantifolia;36.3310;140.0895
juglans_ailantifolia;36.0049;139.9144
juglans_ailantifolia;40.0262;139.9325
juglans_ailantifolia;40.2891;141.5168
juglans_ailantifolia;39.8799;141.9679
juglans_ailantifolia;40.1401;141.4054
juglans_ailantifolia;40.1420;141.4010
juglans_ailantifolia;34.8077;134.5365
juglans_ailantifolia;33.2500;130.2995
juglans_ailantifolia;36.2716;136.3280
juglans_ailantifolia;36.5239;138.3475
juglans_ailantifolia;36.5239;138.3475
juglans_ailantifolia;36.5239;138.3475
juglans_ailantifolia;36.6322;136.6640
juglans_ailantifolia;43.5679;144.3211
juglans_ailantifolia;43.1920;140.8780
juglans_ailantifolia;43.1490;140.9610
juglans_ailantifolia;43.1670;141.0480
juglans_ailantifolia;43.1968;140.9150
juglans_ailantifolia;43.0538;141.3123
juglans_ailantifolia;36.0372;139.2921
juglans_ailantifolia;39.9331;141.5600
juglans_ailantifolia;35.3833;138.7000
juglans_ailantifolia;34.7178;134.0994
juglans_ailantifolia;35.0869;133.8489
juglans_ailantifolia;35.4286;133.6586
juglans_ailantifolia;35.1524;134.1054
juglans_ailantifolia;35.1617;133.5662
juglans_ailantifolia;35.0298;133.4417
juglans_ailantifolia;36.8611;139.5270
juglans_ailantifolia;36.8611;139.5270
juglans_ailantifolia;35.5741;139.3031
juglans_ailantifolia;43.7921;142.8970
juglans_ailantifolia;45.3078;141.9833
juglans_ailantifolia;37.2017;139.7788
juglans_ailantifolia;36.3875;139.7309
juglans_ailantifolia;40.5108;141.4951
juglans_ailantifolia;36.7784;140.3601
juglans_ailantifolia;36.5508;140.4100
juglans_ailantifolia;36.5372;140.5289
juglans_ailantifolia;36.5508;140.4100
juglans_ailantifolia;36.0394;140.2323
juglans_ailantifolia;36.8536;140.7768
juglans_ailantifolia;36.3355;139.9253
juglans_ailantifolia;36.3355;139.9253
juglans_ailantifolia;36.3085;140.4312
juglans_ailantifolia;36.3085;140.4312
juglans_ailantifolia;36.2653;140.5097
juglans_ailantifolia;36.2653;140.5097
juglans_ailantifolia;36.2653;140.5097
juglans_ailantifolia;36.2653;140.5097
juglans_ailantifolia;36.1612;140.3621
juglans_ailantifolia;36.1612;140.3621
juglans_ailantifolia;36.7784;140.3601
juglans_ailantifolia;42.9503;141.1524
juglans_ailantifolia;48.921728;142.260215
juglans_ailantifolia;48.962269;142.233517
juglans_ailantifolia;47.349894;142.552854
juglans_ailantifolia;46.925354;142.632753
juglans_ailantifolia;47.025248;142.756336
juglans_ailantifolia;47.32014;142.819254
