,latitude,longitude,species,source
0,55.041836,158.872514,larix,
1,57.5843,134.6597,larix,gbif
2,57.5707,136.0687,larix,gbif
3,58.4306,136.1937,larix,gbif
4,64.8374,152.6848,larix,gbif
5,64.2156,154.4821,larix,gbif
6,56.6866,124.1116,larix,gbif
7,67.169,156.2382,larix,gbif
8,65.2273,151.6885,larix,gbif
9,64.7619,153.7717,larix,gbif
10,58.528,129.2605,larix,gbif
11,58.7617,127.2472,larix,gbif
12,57.5771,134.6558,larix,gbif
13,59.5956,151.1744,larix,gbif
14,56.294,137.1827,larix,gbif
15,56.2335,134.6537,larix,gbif
16,57.6138,134.0245,larix,gbif
17,55.8812,135.9405,larix,gbif
18,55.62600000000001,130.028,larix,
19,58.7743,134.2522,larix,gbif
20,55.69300000000001,130.888,larix,
21,59.6639,150.4531,larix,gbif
22,68.065,122.9382,larix,gbif
23,56.9818,132.2461,larix,gbif
24,58.0155,134.2048,larix,gbif
25,56.74100000000001,132.9588,larix,gbif
26,57.6448,132.2159,larix,gbif
27,53.3006,132.8981,larix,gbif
28,52.9553,132.7645,larix,gbif
29,49.1307,144.244,larix,gbif
30,50.8748,137.44799999999998,larix,gbif
31,52.7205,134.6119,larix,gbif
32,52.9763,132.0499,larix,gbif
33,52.7902,131.7163,larix,gbif
34,63.6977,124.4366,larix,gbif
35,59.2061,125.321,larix,gbif
36,64.7989,169.4166,larix,gbif
37,64.2844,171.2577,larix,gbif
38,65.5399,168.845,larix,gbif
39,65.0528,167.6692,larix,gbif
40,67.7068,164.7132,larix,gbif
41,68.1104,164.1736,larix,gbif
42,67.7283,165.5681,larix,gbif
43,63.917,170.2392,larix,gbif
44,65.4437,166.4347,larix,gbif
45,66.7912,167.3458,larix,gbif
46,65.8001,169.8063,larix,gbif
47,68.7777,165.3658,larix,gbif
48,44.288,134.8372,larix,
49,62.6895,147.9623,larix,gbif
50,44.2939,135.5506,larix,gbif
51,64.6915,165.799,larix,gbif
52,63.82899999999999,165.7018,larix,gbif
53,63.9592,164.4638,larix,gbif
54,69.3408,139.9505,larix,gbif
55,69.7325,135.1373,larix,gbif
56,67.6601,134.5965,larix,gbif
57,63.8949,153.6367,larix,gbif
58,62.5754,155.3503,larix,gbif
59,62.1164,154.6752,larix,gbif
60,62.4345,156.4316,larix,gbif
61,61.8918,156.1324,larix,gbif
62,67.6853,159.6974,larix,gbif
63,68.9249,164.3013,larix,gbif
64,67.9909,167.4807,larix,gbif
65,67.4864,167.8717,larix,gbif
66,66.22800000000001,168.2711,larix,gbif
67,69.2495,163.8701,larix,gbif
68,43.2614,133.7075,larix,gbif
69,59.3429,148.6157,larix,gbif
70,48.6828,138.249,larix,gbif
71,47.3118,137.596,larix,gbif
72,62.1061,128.3705,larix,gbif
73,69.75,147.5333,larix,gbif
74,62.1791,159.0891,larix,gbif
